O*NET-SOC Code,Element Name,Data Value
13-2072.00,Mechanical,1.19
13-2072.00,Mathematics,3.74
13-2072.00,Physics,1.04
13-2072.00,Chemistry,1.04
13-2072.00,Biology,1
13-2072.00,Psychology,2.32
13-2072.00,Sociology and Anthropology,1.6
13-2072.00,Geography,1.56
13-2072.00,Medicine and Dentistry,1.03
13-2072.00,Therapy and Counseling,1.45
13-2072.00,Education and Training,2.67
13-2072.00,English Language,3.89
13-2072.00,Foreign Language,1.8
13-2072.00,Fine Arts,1.07
13-2072.00,History and Archeology,1.34
13-2072.00,Philosophy and Theology,1.31
13-2072.00,Public Safety and Security,1.6
13-2072.00,Law and Government,3.36
13-2072.00,Telecommunications,1.78
13-2072.00,Communications and Media,2
13-2072.00,Transportation,1.34
13-2081.00,Administration and Management,2.91
13-2081.00,Clerical,3.85
13-2081.00,Economics and Accounting,4.05
13-2081.00,Sales and Marketing,1.79
13-2081.00,Customer and Personal Service,4.42
13-2081.00,Personnel and Human Resources,2.45
13-2081.00,Production and Processing,2.25
13-2081.00,Food Production,1.04
13-2081.00,Computers and Electronics,3.35
13-2081.00,Engineering and Technology,1.34
13-2081.00,Design,1.33
13-2081.00,Building and Construction,1.24
13-2081.00,Mechanical,1.6
13-2081.00,Mathematics,3.8
13-2081.00,Physics,1.18
13-2081.00,Chemistry,1.1
13-2081.00,Biology,1.13
13-2081.00,Psychology,2.53
13-2081.00,Sociology and Anthropology,1.67
13-2081.00,Geography,1.75
13-2081.00,Medicine and Dentistry,1.13
13-2081.00,Therapy and Counseling,1.43
13-2081.00,Education and Training,2.8
13-2081.00,English Language,4.03
13-2081.00,Foreign Language,2.01
13-2081.00,Fine Arts,1.19
13-2081.00,History and Archeology,1.27
13-2081.00,Philosophy and Theology,1.67
13-2081.00,Public Safety and Security,2.5
13-2081.00,Law and Government,3.97
13-2081.00,Telecommunications,2.05
13-2081.00,Communications and Media,2.26
13-2081.00,Transportation,1.84
13-2082.00,Administration and Management,2.55
13-2082.00,Clerical,3.05
13-2082.00,Economics and Accounting,3.55
13-2082.00,Sales and Marketing,2
13-2082.00,Customer and Personal Service,3.72
13-2082.00,Personnel and Human Resources,1.89
13-2082.00,Production and Processing,2.33
13-2082.00,Food Production,1.39
13-2082.00,Computers and Electronics,3.35
13-2082.00,Engineering and Technology,1.7
13-2082.00,Design,1.4
13-2082.00,Building and Construction,1.35
13-2082.00,Mechanical,1.6
13-2082.00,Mathematics,3.65
13-2082.00,Physics,1.45
13-2082.00,Chemistry,1.5
13-2082.00,Biology,1.53
13-2082.00,Psychology,2
13-2082.00,Sociology and Anthropology,1.84
13-2082.00,Geography,1.68
13-2082.00,Medicine and Dentistry,1.42
13-2082.00,Therapy and Counseling,1.63
13-2082.00,Education and Training,2.53
13-2082.00,English Language,3.42
13-2082.00,Foreign Language,1.6
13-2082.00,Fine Arts,1.3
13-2082.00,History and Archeology,1.45
13-2082.00,Philosophy and Theology,1.65
13-2082.00,Public Safety and Security,1.84
13-2082.00,Law and Government,3
13-2082.00,Telecommunications,1.79
13-2082.00,Communications and Media,2.05
13-2082.00,Transportation,1.45
13-2099.01,Administration and Management,2.96
13-2099.01,Clerical,1.74
13-2099.01,Economics and Accounting,4.27
13-2099.01,Sales and Marketing,2.3
13-2099.01,Customer and Personal Service,2.39
13-2099.01,Personnel and Human Resources,1.7
13-2099.01,Production and Processing,1.96
13-2099.01,Food Production,1
13-2099.01,Computers and Electronics,4.48
13-2099.01,Engineering and Technology,3.09
13-2099.01,Design,2.39
13-2099.01,Building and Construction,1.09
13-2099.01,Mechanical,1.22
13-2099.01,Mathematics,4.96
13-2099.01,Physics,2
13-2099.01,Chemistry,1.17
13-2099.01,Biology,1.17
13-2099.01,Psychology,2.17
13-2099.01,Sociology and Anthropology,1.65
13-2099.01,Geography,1.61
13-2099.01,Medicine and Dentistry,1
13-2099.01,Therapy and Counseling,1.17
13-2099.01,Education and Training,2.17
13-2099.01,English Language,3.57
13-2099.01,Foreign Language,1.39
13-2099.01,Fine Arts,1
13-2099.01,History and Archeology,1.61
13-2099.01,Philosophy and Theology,1.48
13-2099.01,Public Safety and Security,1.17
13-2099.01,Law and Government,2.26
13-2099.01,Telecommunications,1.52
13-2099.01,Communications and Media,2.17
13-2099.01,Transportation,1.13
13-2099.02,Administration and Management,3.81
13-2099.02,Clerical,2.86
13-2099.02,Economics and Accounting,3.71
13-2099.02,Sales and Marketing,2.14
13-2099.02,Customer and Personal Service,3.43
13-2099.02,Personnel and Human Resources,3.2
13-2099.02,Production and Processing,2.43
13-2099.02,Food Production,1.86
13-2099.02,Computers and Electronics,3
13-2099.02,Engineering and Technology,2.1
13-2099.02,Design,1.86
13-2099.02,Building and Construction,2.43
13-2099.02,Mechanical,2.19
13-2099.02,Mathematics,3.55
13-2099.02,Physics,1.7
13-2099.02,Chemistry,1.67
13-2099.02,Biology,1.4
13-2099.02,Psychology,2.4
13-2099.02,Sociology and Anthropology,2.1
13-2099.02,Geography,2.35
13-2099.02,Medicine and Dentistry,2.05
13-2099.02,Therapy and Counseling,1.95
13-2099.02,Education and Training,2.7
13-2099.02,English Language,4
13-2099.02,Foreign Language,1.71
13-2099.02,Fine Arts,1.33
13-2099.02,History and Archeology,1.35
13-2099.02,Philosophy and Theology,1.57
13-2099.02,Public Safety and Security,3.62
13-2099.02,Law and Government,3.76
13-2099.02,Telecommunications,1.81
13-2099.02,Communications and Media,2.6
13-2099.02,Transportation,2.43
13-2099.04,Administration and Management,3.08
13-2099.04,Clerical,2.6
13-2099.04,Economics and Accounting,3.84
13-2099.04,Sales and Marketing,2.24
13-2099.04,Customer and Personal Service,2.76
13-2099.04,Personnel and Human Resources,2.72
13-2099.04,Production and Processing,2.24
13-2099.04,Food Production,1.12
13-2099.04,Computers and Electronics,3.52
13-2099.04,Engineering and Technology,1.76
13-2099.04,Design,1.44
13-2099.04,Building and Construction,1.52
13-2099.04,Mechanical,1.44
13-2099.04,Mathematics,3.44
13-2099.04,Physics,1.28
13-2099.04,Chemistry,1.28
13-2099.04,Biology,1.29
13-2099.04,Psychology,3.29
13-2099.04,Sociology and Anthropology,2.32
13-2099.04,Geography,1.76
13-2099.04,Medicine and Dentistry,1.6
13-2099.04,Therapy and Counseling,1.64
13-2099.04,Education and Training,2.92
13-2099.04,English Language,3.96
13-2099.04,Foreign Language,1.76
13-2099.04,Fine Arts,1.16
13-2099.04,History and Archeology,1.44
13-2099.04,Philosophy and Theology,1.92
13-2099.04,Public Safety and Security,2.5
13-2099.04,Law and Government,4.04
13-2099.04,Telecommunications,2.08
13-2099.04,Communications and Media,2.52
13-2099.04,Transportation,1.64
15-1111.00,Administration and Management,3.3
15-1111.00,Clerical,2.59
15-1111.00,Economics and Accounting,2.17
15-1111.00,Sales and Marketing,2.71
15-1111.00,Customer and Personal Service,2.71
15-1111.00,Personnel and Human Resources,2.46
15-1111.00,Production and Processing,2.47
15-1111.00,Food Production,1.05
15-1111.00,Computers and Electronics,4.57
15-1111.00,Engineering and Technology,3.95
15-1111.00,Design,3.27
15-1111.00,Building and Construction,1.56
15-1111.00,Mechanical,2.07
15-1111.00,Mathematics,4.06
15-1111.00,Physics,2.84
15-1111.00,Chemistry,1.85
15-1111.00,Biology,1.9
15-1111.00,Psychology,2.39
15-1111.00,Sociology and Anthropology,1.89
15-1111.00,Geography,1.85
15-1111.00,Medicine and Dentistry,1.38
15-1111.00,Therapy and Counseling,1.31
15-1111.00,Education and Training,2.66
15-1111.00,English Language,3.89
15-1111.00,Foreign Language,1.28
15-1111.00,Fine Arts,1.32
15-1111.00,History and Archeology,1.43
15-1111.00,Philosophy and Theology,1.41
15-1111.00,Public Safety and Security,2.41
15-1111.00,Law and Government,2.01
15-1111.00,Telecommunications,3.09
15-1111.00,Communications and Media,2.28
15-1111.00,Transportation,1.28
15-1121.00,Administration and Management,2.99
15-1121.00,Clerical,2.52
15-1121.00,Economics and Accounting,1.84
15-1121.00,Sales and Marketing,1.59
15-1121.00,Customer and Personal Service,3.12
15-1121.00,Personnel and Human Resources,1.72
15-1121.00,Production and Processing,1.84
15-1121.00,Food Production,1.02
15-1121.00,Computers and Electronics,4.3
15-1121.00,Engineering and Technology,2.49
15-1121.00,Design,2.01
15-1121.00,Building and Construction,1.06
15-1121.00,Mechanical,1.34
15-1121.00,Mathematics,3.11
15-1121.00,Physics,1.32
15-1121.00,Chemistry,1.26
15-1121.00,Biology,1.11
15-1121.00,Psychology,1.55
15-1121.00,Sociology and Anthropology,1.42
15-1121.00,Geography,1.35
15-1121.00,Medicine and Dentistry,1.19
15-1121.00,Therapy and Counseling,1.08
15-1121.00,Education and Training,2.54
15-1121.00,English Language,3.96
15-1121.00,Foreign Language,1.23
15-1121.00,Fine Arts,1.04
15-1121.00,History and Archeology,1.14
15-1121.00,Philosophy and Theology,1.17
15-1121.00,Public Safety and Security,1.64
15-1121.00,Law and Government,1.88
15-1121.00,Telecommunications,2.5
15-1121.00,Communications and Media,2.16
15-1121.00,Transportation,1.33
15-1121.01,Administration and Management,3.64
15-1121.01,Clerical,3.5
15-1121.01,Economics and Accounting,2.29
15-1121.01,Sales and Marketing,2.45
15-1121.01,Customer and Personal Service,4.41
15-1121.01,Personnel and Human Resources,2.81
15-1121.01,Production and Processing,2.55
15-1121.01,Food Production,1.05
15-1121.01,Computers and Electronics,4.27
15-1121.01,Engineering and Technology,3
15-1121.01,Design,2.57
15-1121.01,Building and Construction,1.5
15-1121.01,Mechanical,1.68
15-1121.01,Mathematics,3.14
15-1121.01,Physics,1.24
15-1121.01,Chemistry,1.48
15-1121.01,Biology,2.45
15-1121.01,Psychology,3.48
15-1121.01,Sociology and Anthropology,2.95
15-1121.01,Geography,1.41
15-1121.01,Medicine and Dentistry,4.05
15-1121.01,Therapy and Counseling,3.05
15-1121.01,Education and Training,4.2
15-1121.01,English Language,4.1
15-1121.01,Foreign Language,1.29
15-1121.01,Fine Arts,1.14
15-1121.01,History and Archeology,1.41
15-1121.01,Philosophy and Theology,2.09
15-1121.01,Public Safety and Security,2.82
15-1121.01,Law and Government,2.95
15-1121.01,Telecommunications,3
15-1121.01,Communications and Media,3.05
15-1121.01,Transportation,1.59
15-1122.00,Administration and Management,3.68
15-1122.00,Clerical,2.69
15-1122.00,Economics and Accounting,2.29
15-1122.00,Sales and Marketing,1.51
15-1122.00,Customer and Personal Service,3.42
15-1122.00,Personnel and Human Resources,2.44
15-1122.00,Production and Processing,2.41
15-1122.00,Food Production,1.02
15-1122.00,Computers and Electronics,4.35
15-1122.00,Engineering and Technology,3.64
15-1122.00,Design,2.4
15-1122.00,Building and Construction,1.34
15-1122.00,Mechanical,1.68
15-1122.00,Mathematics,2.87
15-1122.00,Physics,1.37
15-1122.00,Chemistry,1.23
15-1122.00,Biology,1.04
15-1122.00,Psychology,2.09
15-1122.00,Sociology and Anthropology,1.71
15-1122.00,Geography,1.59
15-1122.00,Medicine and Dentistry,1.06
15-1122.00,Therapy and Counseling,1.1
15-1122.00,Education and Training,3.19
15-1122.00,English Language,4.26
15-1122.00,Foreign Language,1.31
15-1122.00,Fine Arts,1.02
15-1122.00,History and Archeology,1.13
15-1122.00,Philosophy and Theology,1.19
15-1122.00,Public Safety and Security,3.27
15-1122.00,Law and Government,2.7
15-1122.00,Telecommunications,3.64
15-1122.00,Communications and Media,2.8
15-1122.00,Transportation,1.61
15-1131.00,Administration and Management,3.26
15-1131.00,Clerical,2.74
15-1131.00,Economics and Accounting,2.47
15-1131.00,Sales and Marketing,2.07
15-1131.00,Customer and Personal Service,3.3
15-1131.00,Personnel and Human Resources,2
15-1131.00,Production and Processing,2.55
15-1131.00,Food Production,1
15-1131.00,Computers and Electronics,4.87
15-1131.00,Engineering and Technology,3.47
15-1131.00,Design,2.88
15-1131.00,Building and Construction,1
15-1131.00,Mechanical,1.53
15-1131.00,Mathematics,3.53
15-1131.00,Physics,2.11
15-1131.00,Chemistry,1.15
15-1131.00,Biology,1
15-1131.00,Psychology,2.04
15-1131.00,Sociology and Anthropology,2
15-1131.00,Geography,2.75
15-1131.00,Medicine and Dentistry,1.46
15-1131.00,Therapy and Counseling,1.09
15-1131.00,Education and Training,2.79
15-1131.00,English Language,3.41
15-1131.00,Foreign Language,1.64
15-1131.00,Fine Arts,1.55
15-1131.00,History and Archeology,1.06
15-1131.00,Philosophy and Theology,1.05
15-1131.00,Public Safety and Security,1.45
15-1131.00,Law and Government,1.39
15-1131.00,Telecommunications,2.4
15-1131.00,Communications and Media,2.43
15-1131.00,Transportation,1.69
15-1132.00,Administration and Management,2.53
15-1132.00,Clerical,1.39
15-1132.00,Economics and Accounting,1.38
15-1132.00,Sales and Marketing,1.69
15-1132.00,Customer and Personal Service,3.04
15-1132.00,Personnel and Human Resources,1.8
15-1132.00,Production and Processing,1.36
15-1132.00,Food Production,1.01
15-1132.00,Computers and Electronics,4.96
15-1132.00,Engineering and Technology,4.04
15-1132.00,Design,3.32
15-1132.00,Building and Construction,1.08
15-1132.00,Mechanical,1.15
15-1132.00,Mathematics,3.6
15-1132.00,Physics,1.51
15-1132.00,Chemistry,1.34
15-1132.00,Biology,1.02
15-1132.00,Psychology,1.34
15-1132.00,Sociology and Anthropology,1.15
15-1132.00,Geography,1.55
15-1132.00,Medicine and Dentistry,1.04
15-1132.00,Therapy and Counseling,1.03
15-1132.00,Education and Training,2.15
15-1132.00,English Language,3.77
15-1132.00,Foreign Language,1.14
15-1132.00,Fine Arts,1.01
15-1132.00,History and Archeology,1.03
15-1132.00,Philosophy and Theology,1.05
15-1132.00,Public Safety and Security,1.33
15-1132.00,Law and Government,1.62
15-1132.00,Telecommunications,2.79
15-1132.00,Communications and Media,2.14
15-1132.00,Transportation,1.38
15-1133.00,Administration and Management,2.71
15-1133.00,Clerical,2.32
15-1133.00,Economics and Accounting,2.05
15-1133.00,Sales and Marketing,2.26
15-1133.00,Customer and Personal Service,3.02
15-1133.00,Personnel and Human Resources,1.75
15-1133.00,Production and Processing,1.83
15-1133.00,Food Production,1
15-1133.00,Computers and Electronics,4.88
15-1133.00,Engineering and Technology,3.94
15-1133.00,Design,3.51
15-1133.00,Building and Construction,1.15
15-1133.00,Mechanical,1.71
15-1133.00,Mathematics,3.83
15-1133.00,Physics,2.6
15-1133.00,Chemistry,1.72
15-1133.00,Biology,1.11
15-1133.00,Psychology,2
15-1133.00,Sociology and Anthropology,1.73
15-1133.00,Geography,2.25
15-1133.00,Medicine and Dentistry,1.14
15-1133.00,Therapy and Counseling,1.14
15-1133.00,Education and Training,2.57
15-1133.00,English Language,3.16
15-1133.00,Foreign Language,1.18
15-1133.00,Fine Arts,1.24
15-1133.00,History and Archeology,1.14
15-1133.00,Philosophy and Theology,1.3
15-1133.00,Public Safety and Security,2.32
15-1133.00,Law and Government,2.5
15-1133.00,Telecommunications,3.59
15-1133.00,Communications and Media,2.77
15-1133.00,Transportation,1.13
15-1134.00,Administration and Management,2.38
15-1134.00,Clerical,2.38
15-1134.00,Economics and Accounting,1.75
15-1134.00,Sales and Marketing,2.25
15-1134.00,Customer and Personal Service,2.96
15-1134.00,Personnel and Human Resources,1.54
15-1134.00,Production and Processing,1.75
15-1134.00,Food Production,1.04
15-1134.00,Computers and Electronics,4.38
15-1134.00,Engineering and Technology,2.58
15-1134.00,Design,2.96
15-1134.00,Building and Construction,1
15-1134.00,Mechanical,1.08
15-1134.00,Mathematics,3.35
15-1134.00,Physics,1.29
15-1134.00,Chemistry,1
15-1134.00,Biology,1.08
15-1134.00,Psychology,1.92
15-1134.00,Sociology and Anthropology,1.75
15-1134.00,Geography,1.42
15-1134.00,Medicine and Dentistry,1.04
15-1134.00,Therapy and Counseling,1.08
15-1134.00,Education and Training,2.25
15-1134.00,English Language,3.54
15-1134.00,Foreign Language,1.33
15-1134.00,Fine Arts,2.04
15-1134.00,History and Archeology,1.17
15-1134.00,Philosophy and Theology,1.58
15-1134.00,Public Safety and Security,1.96
15-1134.00,Law and Government,1.79
15-1134.00,Telecommunications,2.46
15-1134.00,Communications and Media,3.21
15-1134.00,Transportation,1.12
15-1141.00,Administration and Management,2.95
15-1141.00,Clerical,2.99
15-1141.00,Economics and Accounting,2.06
15-1141.00,Sales and Marketing,1.55
15-1141.00,Customer and Personal Service,2.75
15-1141.00,Personnel and Human Resources,1.93
15-1141.00,Production and Processing,2.5
15-1141.00,Food Production,1.04
15-1141.00,Computers and Electronics,4.46
15-1141.00,Engineering and Technology,2.58
15-1141.00,Design,2.31
15-1141.00,Building and Construction,1.32
15-1141.00,Mechanical,1.85
15-1141.00,Mathematics,3.12
15-1141.00,Physics,1.32
15-1141.00,Chemistry,1.24
15-1141.00,Biology,1.02
15-1141.00,Psychology,2.66
15-1141.00,Sociology and Anthropology,2.01
15-1141.00,Geography,1.79
15-1141.00,Medicine and Dentistry,1
15-1141.00,Therapy and Counseling,1.82
15-1141.00,Education and Training,2.93
15-1141.00,English Language,3.31
15-1141.00,Foreign Language,1.17
15-1141.00,Fine Arts,1
15-1141.00,History and Archeology,1.34
15-1141.00,Philosophy and Theology,2.14
15-1141.00,Public Safety and Security,2.85
15-1141.00,Law and Government,2.56
15-1141.00,Telecommunications,3.25
15-1141.00,Communications and Media,2.99
15-1141.00,Transportation,1.55
15-1142.00,Administration and Management,2.97
15-1142.00,Clerical,3.13
15-1142.00,Economics and Accounting,2.07
15-1142.00,Sales and Marketing,1.69
15-1142.00,Customer and Personal Service,3.63
15-1142.00,Personnel and Human Resources,2.19
15-1142.00,Production and Processing,2.26
15-1142.00,Food Production,1.21
15-1142.00,Computers and Electronics,4.92
15-1142.00,Engineering and Technology,3.6
15-1142.00,Design,2.79
15-1142.00,Building and Construction,1.65
15-1142.00,Mechanical,2.34
15-1142.00,Mathematics,3.19
15-1142.00,Physics,1.61
15-1142.00,Chemistry,1.35
15-1142.00,Biology,1.13
15-1142.00,Psychology,1.68
15-1142.00,Sociology and Anthropology,1.43
15-1142.00,Geography,1.63
15-1142.00,Medicine and Dentistry,1.33
15-1142.00,Therapy and Counseling,1.22
15-1142.00,Education and Training,2.82
15-1142.00,English Language,3.83
15-1142.00,Foreign Language,1.53
15-1142.00,Fine Arts,1.08
15-1142.00,History and Archeology,1.2
15-1142.00,Philosophy and Theology,1.28
15-1142.00,Public Safety and Security,2.48
15-1142.00,Law and Government,2.13
15-1142.00,Telecommunications,3.21
15-1142.00,Communications and Media,2.78
15-1142.00,Transportation,1.49
15-1143.00,Administration and Management,2.95
15-1143.00,Clerical,1.95
15-1143.00,Economics and Accounting,2.05
15-1143.00,Sales and Marketing,1.76
15-1143.00,Customer and Personal Service,2.73
15-1143.00,Personnel and Human Resources,1.95
15-1143.00,Production and Processing,2
15-1143.00,Food Production,1
15-1143.00,Computers and Electronics,4.67
15-1143.00,Engineering and Technology,4.14
15-1143.00,Design,3.67
15-1143.00,Building and Construction,1.59
15-1143.00,Mechanical,1.95
15-1143.00,Mathematics,3.55
15-1143.00,Physics,2.67
15-1143.00,Chemistry,1.29
15-1143.00,Biology,1.05
15-1143.00,Psychology,1.91
15-1143.00,Sociology and Anthropology,1.59
15-1143.00,Geography,1.73
15-1143.00,Medicine and Dentistry,1.05
15-1143.00,Therapy and Counseling,1.05
15-1143.00,Education and Training,2.82
15-1143.00,English Language,4
15-1143.00,Foreign Language,1.41
15-1143.00,Fine Arts,1
15-1143.00,History and Archeology,1.14
15-1143.00,Philosophy and Theology,1.41
15-1143.00,Public Safety and Security,2.95
15-1143.00,Law and Government,2.59
15-1143.00,Telecommunications,4.41
15-1143.00,Communications and Media,2.36
15-1143.00,Transportation,1.55
15-1143.01,Administration and Management,3.78
15-1143.01,Clerical,3.23
15-1143.01,Economics and Accounting,2.78
15-1143.01,Sales and Marketing,3
15-1143.01,Customer and Personal Service,4.04
15-1143.01,Personnel and Human Resources,2.26
15-1143.01,Production and Processing,2.26
15-1143.01,Food Production,1.13
15-1143.01,Computers and Electronics,4
15-1143.01,Engineering and Technology,3.7
15-1143.01,Design,3.52
15-1143.01,Building and Construction,2.83
15-1143.01,Mechanical,2.43
15-1143.01,Mathematics,3.7
15-1143.01,Physics,2.52
15-1143.01,Chemistry,1.52
15-1143.01,Biology,1.22
15-1143.01,Psychology,1.96
15-1143.01,Sociology and Anthropology,1.52
15-1143.01,Geography,1.7
15-1143.01,Medicine and Dentistry,1.17
15-1143.01,Therapy and Counseling,1.22
15-1143.01,Education and Training,2.52
15-1143.01,English Language,3.96
15-1143.01,Foreign Language,1.39
15-1143.01,Fine Arts,1.04
15-1143.01,History and Archeology,1.09
15-1143.01,Philosophy and Theology,1.09
15-1143.01,Public Safety and Security,2.55
15-1143.01,Law and Government,2.78
15-1143.01,Telecommunications,4.83
15-1143.01,Communications and Media,2.7
15-1143.01,Transportation,1.61
15-1151.00,Administration and Management,2.75
15-1151.00,Clerical,2.48
15-1151.00,Economics and Accounting,1.38
15-1151.00,Sales and Marketing,1.17
15-1151.00,Customer and Personal Service,4.33
15-1151.00,Personnel and Human Resources,2.08
15-1151.00,Production and Processing,1.76
15-1151.00,Food Production,1.07
15-1151.00,Computers and Electronics,4.79
15-1151.00,Engineering and Technology,3.07
15-1151.00,Design,1.52
15-1151.00,Building and Construction,1.2
15-1151.00,Mechanical,2.06
15-1151.00,Mathematics,1.95
15-1151.00,Physics,1.28
15-1151.00,Chemistry,1.14
15-1151.00,Biology,1.02
15-1151.00,Psychology,2.33
15-1151.00,Sociology and Anthropology,1.63
15-1151.00,Geography,1.11
15-1151.00,Medicine and Dentistry,1.11
15-1151.00,Therapy and Counseling,1.06
15-1151.00,Education and Training,2.9
15-1151.00,English Language,3.9
15-1151.00,Foreign Language,1.42
15-1151.00,Fine Arts,1.01
15-1151.00,History and Archeology,1.1
15-1151.00,Philosophy and Theology,1.09
15-1151.00,Public Safety and Security,3.04
15-1151.00,Law and Government,1.69
15-1151.00,Telecommunications,3.62
15-1151.00,Communications and Media,2.44
15-1151.00,Transportation,1.22
15-1152.00,Administration and Management,3.12
15-1152.00,Clerical,2.91
15-1152.00,Economics and Accounting,1.78
15-1152.00,Sales and Marketing,1.34
15-1152.00,Customer and Personal Service,3.45
15-1152.00,Personnel and Human Resources,1.96
15-1152.00,Production and Processing,2.61
15-1152.00,Food Production,1
15-1152.00,Computers and Electronics,4.96
15-1152.00,Engineering and Technology,3.4
15-1152.00,Design,2.63
15-1152.00,Building and Construction,1.65
15-1152.00,Mechanical,2.18
15-1152.00,Mathematics,2.45
15-1152.00,Physics,1.27
15-1152.00,Chemistry,1.17
15-1152.00,Biology,1
15-1152.00,Psychology,1.85
15-1152.00,Sociology and Anthropology,1.23
15-1152.00,Geography,1.35
15-1152.00,Medicine and Dentistry,1.01
15-1152.00,Therapy and Counseling,1.13
15-1152.00,Education and Training,2.95
15-1152.00,English Language,3.31
15-1152.00,Foreign Language,1.27
15-1152.00,Fine Arts,1.05
15-1152.00,History and Archeology,1.12
15-1152.00,Philosophy and Theology,1.05
15-1152.00,Public Safety and Security,2.51
15-1152.00,Law and Government,1.9
15-1152.00,Telecommunications,3.79
15-1152.00,Communications and Media,2.99
15-1152.00,Transportation,1.16
15-1199.01,Administration and Management,2.52
15-1199.01,Clerical,2.19
15-1199.01,Economics and Accounting,1.59
15-1199.01,Sales and Marketing,1.37
15-1199.01,Customer and Personal Service,2.81
15-1199.01,Personnel and Human Resources,1.8
15-1199.01,Production and Processing,1.73
15-1199.01,Food Production,1.04
15-1199.01,Computers and Electronics,4.26
15-1199.01,Engineering and Technology,3.26
15-1199.01,Design,2.48
15-1199.01,Building and Construction,1.04
15-1199.01,Mechanical,1.33
15-1199.01,Mathematics,3.04
15-1199.01,Physics,1.42
15-1199.01,Chemistry,1.11
15-1199.01,Biology,1.04
15-1199.01,Psychology,1.85
15-1199.01,Sociology and Anthropology,1.63
15-1199.01,Geography,1.3
15-1199.01,Medicine and Dentistry,1.15
15-1199.01,Therapy and Counseling,1.15
15-1199.01,Education and Training,2.46
15-1199.01,English Language,3.52
15-1199.01,Foreign Language,1.46
15-1199.01,Fine Arts,1.08
15-1199.01,History and Archeology,1.15
15-1199.01,Philosophy and Theology,1.15
15-1199.01,Public Safety and Security,1.56
15-1199.01,Law and Government,1.46
15-1199.01,Telecommunications,1.89
15-1199.01,Communications and Media,2.04
15-1199.01,Transportation,1.19
15-1199.02,Administration and Management,3.2
15-1199.02,Clerical,2.28
15-1199.02,Economics and Accounting,2.17
15-1199.02,Sales and Marketing,1.83
15-1199.02,Customer and Personal Service,3.1
15-1199.02,Personnel and Human Resources,2.48
15-1199.02,Production and Processing,2.57
15-1199.02,Food Production,1.03
15-1199.02,Computers and Electronics,4.73
15-1199.02,Engineering and Technology,4
15-1199.02,Design,3.47
15-1199.02,Building and Construction,1.2
15-1199.02,Mechanical,1.52
15-1199.02,Mathematics,3.87
15-1199.02,Physics,1.8
15-1199.02,Chemistry,1.37
15-1199.02,Biology,1.17
15-1199.02,Psychology,2.33
15-1199.02,Sociology and Anthropology,1.77
15-1199.02,Geography,1.53
15-1199.02,Medicine and Dentistry,1.13
15-1199.02,Therapy and Counseling,1.2
15-1199.02,Education and Training,2.86
15-1199.02,English Language,3.93
15-1199.02,Foreign Language,1.27
15-1199.02,Fine Arts,1.13
15-1199.02,History and Archeology,1.37
15-1199.02,Philosophy and Theology,1.4
15-1199.02,Public Safety and Security,2.21
15-1199.02,Law and Government,2.37
15-1199.02,Telecommunications,3.3
15-1199.02,Communications and Media,2.7
15-1199.02,Transportation,1.43
15-1199.03,Administration and Management,3.2
15-1199.03,Clerical,2.68
15-1199.03,Economics and Accounting,1.9
15-1199.03,Sales and Marketing,3
15-1199.03,Customer and Personal Service,3.55
15-1199.03,Personnel and Human Resources,2.26
15-1199.03,Production and Processing,2.25
15-1199.03,Food Production,1.15
15-1199.03,Computers and Electronics,4.15
15-1199.03,Engineering and Technology,3.2
15-1199.03,Design,3.15
15-1199.03,Building and Construction,1.25
15-1199.03,Mechanical,1.45
15-1199.03,Mathematics,2.65
15-1199.03,Physics,1.25
15-1199.03,Chemistry,1.15
15-1199.03,Biology,1.2
15-1199.03,Psychology,1.95
15-1199.03,Sociology and Anthropology,1.85
15-1199.03,Geography,1.75
15-1199.03,Medicine and Dentistry,1.15
15-1199.03,Therapy and Counseling,1.1
15-1199.03,Education and Training,2.9
15-1199.03,English Language,4.1
15-1199.03,Foreign Language,1.35
15-1199.03,Fine Arts,1.6
15-1199.03,History and Archeology,1.5
15-1199.03,Philosophy and Theology,1.2
15-1199.03,Public Safety and Security,2.3
15-1199.03,Law and Government,2.47
15-1199.03,Telecommunications,2.7
15-1199.03,Communications and Media,4.1
15-1199.03,Transportation,1.4
15-1199.04,Administration and Management,3.04
15-1199.04,Clerical,2.52
15-1199.04,Economics and Accounting,2.04
15-1199.04,Sales and Marketing,2.3
15-1199.04,Customer and Personal Service,3.23
15-1199.04,Personnel and Human Resources,1.91
15-1199.04,Production and Processing,2.41
15-1199.04,Food Production,1.14
15-1199.04,Computers and Electronics,4.39
15-1199.04,Engineering and Technology,2.83
15-1199.04,Design,3.09
15-1199.04,Building and Construction,1.65
15-1199.04,Mechanical,1.7
15-1199.04,Mathematics,3.86
15-1199.04,Physics,2.14
15-1199.04,Chemistry,1.83
15-1199.04,Biology,2.35
15-1199.04,Psychology,1.61
15-1199.04,Sociology and Anthropology,2.26
15-1199.04,Geography,4.87
15-1199.04,Medicine and Dentistry,1.57
15-1199.04,Therapy and Counseling,1.39
15-1199.04,Education and Training,3.3
15-1199.04,English Language,3.96
15-1199.04,Foreign Language,1.7
15-1199.04,Fine Arts,1.57
15-1199.04,History and Archeology,2.17
15-1199.04,Philosophy and Theology,1.26
15-1199.04,Public Safety and Security,2.43
15-1199.04,Law and Government,2.48
15-1199.04,Telecommunications,2.22
